endereco,texto
"Rua Auta de Luna Freire, Ernani Sátiro, João Pessoa, Paraíba, 58080-560",quem está de volta agora com o calendário JPB hoje tem Missão Nova para nossa equipe uma praça abandonada no Ernani Sátiro aqui na capital Na verdade eu nem sei se a gente pode chamar de Praça sim viu Plínio Almeida foi até lá para conferir de um lado a Rua Abílio Paiva desse outro aqui a Auta de Luna Freire no bairro Ernani Sátiro E no meio tem algo que um dia já pode ser chamado de Praça mas do jeito que tá hoje com tudo quebrado esquecido abandonado mato lixo e sem condições nenhuma de uso Se tem uma coisa que isso aqui não é mais é uma praça os moradores dizem que faz mais ou menos uns 10 anos da última vez que alguém chegou aqui para fazer algum tipo de conserto manutenção nessa praça né Ficar Com certeza isso aqui assim eu eu eu tenho 41 anos aqui como ele tem como você já tá vendo aqui que as pessoas lhe darem a gente precisa de uma praça a gente precisa de um lazer a gente tem criança a gente precisa disso as crianças já se furaram aqui as crianças já pegaram o germe de cachorro aqui ali ó ferro enfiado para cavalo para animal aqui só serve para isso que não tem condições de andar eu mesmo vou fazer uma caminhada de Zezinho saiu daqui na rua aí rodeio e venho Quando estivesse pronto eu sou uma pracinha aqui tá certo é pequeno mas a gente aumentar o número de volta né Não só sou eu sou muito idosa que tem aqui temos a prefeitura ela tem aí uma creche em frente à praça das crianças aí vem para aí que eu já vi que ia subir aí e desceu aí pode se acidentar aí tudo rasgado tudo quebrado brincando do jeito que tá aí no jeito que tá aí criança vem amanhã à tarde para pegar porque tá vendo a hora que acidentado que a gente não pagamos também no nosso IPTU né não pagamos temos direito como colocar o outro cidadão exatamente nesse local aqui que tá cheio de mato tem Metralha também tem vários buracos era uma quadra não é isso Léo como era que antes antes de uma quadra de areia Aqui é onde a comunidade se divertir né Tem várias crianças aqui no bairro e a gente joga futebol a gente praticava vôlei não é isso para comunidade isso é muito importante queria que ele viesse reformar fazer uma quadra não colocaria novamente mas fazer uma quadra fazer um espaço que o pessoal fazer caminhada colocar ali os aparelhos para prática também de musculação isso que nós precisamos a gente que é o mesmo direito que as outros bairros tem que as outras praças tem dona Eronildes é uma das pessoas que mora aqui pertinho da praça e que tem muita vontade de fazer caminhada né mas nessas condições olha ali buraco não dá não tem não tem condições porque
"Rua Projetada I, Serrotão, Campina Grande, Paraíba, 58433-112",é hora do calendário Olha só recebi uma correspondência chamar a polícia o SAMU pedir uma pizza não são tarefas fáceis para quem mora no conjunto Colinas do Sol no bairro das Malvinas é que as ruas não têm nome aí fica complicado né Laisa grisi foi lá conversar com os moradores e hoje é dia de calendário JPB e a gente receber um chamado muito especial do pessoal Olha só do conjunto Colinas do Sol bairro das Malvinas sendo que a gente passou uns 10 minutos rodando aqui sem conseguir achar a rua porque a única referência que a gente tinha era assim ó quadra K Lote 10 Quadra k Lote 10 viu Nossa assistente motorista Rodotrem mais o carro não foi Gil foi um pouquinho viu aí você escutou quando o pessoal gritou pessoal gritou né se não tinha passado Então vamos falar com o pessoal minha gente porque se vocês não tivesse gritado a gente ia passar direto aqui Como assim quadra K Lote 10 quem acha esse endereço é difícil de encontrar correspondência a gente não tem vai completar três anos que a gente recebeu esse conjunto nós não temos nome de rua nós não temos transporte urbano nós não temos uma pracinha nós não temos posto de saúde a situação é precária mesmo de você ligou para gente né chamou o calendário Por que a principal dificuldade são essas ruas não têm nome e aí não recebe correspondência para dizer assim um ponto de referência fica difícil vai receber uma visita faz como a gente fica o DETRAN Rua da conta porque tem uma Kombi na rua vai para rua né tem que esperar na rua nessa rua quem acha tem que esperar na rua vocês já já falaram foram atrás vocês sabem quem procurar Não não vou dizer que a gente não procurou sobre o endereço não porque a gente não sabe quem procurar só um minutinho agora você eu procurei eu fui na serra me disseram que depois que foi entregue Não tem nada a ver com isso com essa é a pino é aí falaram na prefeitura eu fui na prefeitura diz que o responsável não tava no dia isso aqui foi o que um ano atrás acho um ano atrás depois disso eu não procurei mais vocês não sabem nem aqui recorrer a quem recorrer não sabemos que já tem 3 anos que vocês não venham carteira aí a gente sabe que existe mas aqui não nunca viram mas a gente é essa a gente olhar as correspondências não vem para aqui a gente só tem água e luz porque tem que pagar então direito né é divisa na hora a leitura não faz na hora leitura então se for conta para pagar olha a conta da Cagepa e a conta da Energisa chegam nas casas agora vem aqui ó Rua Projetada 100 o nome da rua Se for para receber uma correspondência para ficar mais garantido
"Avenida Cruz das Armas, Oitizeiro, João Pessoa, Paraíba, 58082-000",gente calendário JPB na área agora a gente voltou ao dizer Alguns chamam de Cruz das Almas também naquela região ali tem uma unidade básica de saúde por lá que está sendo construída a obra parou o povo reclamou E a equipe do calendário chegou junto Desde janeiro depois de algumas visitas tem obra andando por lá para ver a gente tá na obra da unidade básica de saúde 380 aqui entre o dizer e Cruz das Armas você tá vendo ali a placa faz tempo que o negócio tinha parado a gente tava triste Tava choco a comunidade cobrando mas agora meu coração até palpitou de alegria quando a gente chega no lugar e o negócio está cozinhando o feijão eu não acredito não foi na feira pagamento calendário JPB é trabalho não vejo aqui na calçada aí vocês vieram de três semanas para liberar o hospital aí né o morador deixar tudo em ordem mesmo show de bola Obrigado meu irmão bom serviço aí pode continuar primeira divisão e aí o que é que estão preparando Tô preparando tudo aqui para continuar a obra aqui vocês lembram por aqui o que é de Matos era brincadeira não pessoal já fez a limpeza do mato todinho de bicho aqui não é brincadeira cobra rato barata você imaginasse corpo peão que você mais nessa que tinha já tá melhor Já tá meio caminho andado né vamos ver o que que vai acontecer daqui para frente quando vocês viram que chegou outra Construtora tinha gente trabalhando a esperança foi renovada ou não é mais ou menos porque o que eu vi aqui que eu moro de frente chegou uma pessoa da firma só uma pessoa ele entrou ele por todo esse mato limpou tudo e ficou assim agora tá bonito ele limpou todo mato e depois chegou dois sacos de rejunte e ele ficou dentro terminou ele foi jantar lá dentro hoje chegou esses tijolos 40 tijolo responsável da construtora tava aqui quando a gente chegou e Ela explicou que é que tá acontecendo ela disse que conseguiu fazer o adiantamento do serviço naquele serviço que não precisava de água porque eles não têm ligação de água aqui ainda na obra São aguardando a Cagepa chegar para fazer essa ligação e aí eles darem segmento há muita coisa que é que deu para fazer limpar o mato concluir o rejunte lá na parte interna ainda falta alguns alunos o pessoal vai fazer isso ainda hoje também que conseguir água aqui com o vizinho E aí esses tijolos que chegaram para fazer a casinha a caixinha do relógio de água só assim que a Cagepa vai liberar a ligação depois disso aí a obra continua de
"Rua Napoleão Crispim, Oitizeiro, João Pessoa, Paraíba, 58087-080",o calendário JPB de hoje é um daqueles que a gente acompanha um tempinho para ser mais preciso para fazer um ano em fevereiro é a falta de estrutura de uma rua essa aqui ó a Napoleão Crispim por lá a gente era uma coleção de buraco por causa das chuvas teve poste que caiu em casa correndo risco de desabar a situação feia demais agora deixa eu mostrar como é que tá Tá assim ó melhorou bastante né mas claro ainda não tá do jeito que os moradores querem e nem a gente quer então bora lá a mais uma página do calendário JPB Quem viu a Rua Napoleão Crispim há um ano e ver hoje sabe que as coisas melhoraram muito por aqui e só pediu para guardar guardar e nada é feito e a situação aqui por exemplo onde a gente vê que existe esse corte na verdade existia um coração enorme cheio de lixo o poste até caiu dentro do buraco por conta disso e aí quando a gente vai para o outro lado da rua a gente lembra que a tubulação de gás estava exposta por conta dos buracos também e isso até era motivo de preocupação é essa ligação da rua com essa outra rua e com outras ruas que existem mais embaixo nem existia tamanha era a buraqueira o calendário JPB pode dizer que viu o antes e depois da rua da mulher de respeito e agora quando você pode ver já dá para transitar veículos aí claro que ainda tem muitos problemas porque nascem ela é uma enorme suja muitas casas e essa chuva que deu agora no período de festa que já deu para perceber que fica aquela lama escorregadia podendo causar um acidente como você viu ali eu nem choveu muito mas já quis iniciar uma cratera via a secretaria de infraestrutura do município a pedido Claro da Defesa Civil Por que essa rua que se transformou numa área de risco fez uma obra de drenagem aqui então a rua agora tem alguns espaços para que a água possa escoar acontece que vem muita água para essa rua então a como a rua não sem calçamento acaba que acontece isso olha essas vendas começam a se formar na rua porque é justamente o caminho que a água faz apesar das muitas vitórias vocês ainda não se sentem Seguros É isso aí achando que a gente quer a solução definitiva do problema fazendo um calçamento e segundo o pessoal da Empreiteira que tava aqui ainda falta fazer o são duas ou são quatro bocas de lobo Sales justamente para conter esse resíduo Zinho de água que não consegue ser
"Roger, João Pessoa, Paraíba",calendário JPB 1 hoje que para gente é muito especial eu tô falando da comunidade do s no Bairro do Roger aqui em João Pessoa a gente acompanha a situação dos moradores desde 2013 nós estivemos nessa comunidade pessoal acredito em quase 30 vezes algumas delas os moradores perdiam na esperança a gente esbarrava na lentidão na burocracia do poder público tava difícil quase impossível mas você já sabe a gente não desistiu e o pessoal de lá também não desistiu os moradores pediram melhoria na infraestrutura da comunidade e na semana passada dia 4 esse calendário completou 6 anos 6 anos o aniversário que ninguém queria festejar né mas finalmente a situação tá mudando a obra tá andando além da infraestrutura serão construídas as moradias lugar já tá com uma cara nova Daniel Lopes esteve por lá e mostra tudo para gente Inclusive a felicidade dos moradores que é a melhor parte não é bom demais calendário JPB tá de volta à comunidade do s para mostrar como está o andamento da obra e uma coisa eu já começo mostrando só tem calçamento aqui porque se fosse uns meses atrás eu tava passando com sua bicicleta com seu chinelo por dentro da Lama realmente tá melhorando né o casamento tá aqui que tá chegando já eu acho que daqui para frente vai só melhorar abraço bom serviço E aí estiloso freia segura antes de fazer esse casamento vem aqui andar de bicicleta onde homem na lama e agora tá primeiro e se cair Cuidado para não se machucar fechadura Quantas vezes a gente chegou por aqui que o senhor tava cabisbaixo tava desacreditada a esperança não morreu não mas era pouca É verdade agora né ela agora você vai morrer agora que não gosta né quando a gente vê alguma coisa acontecendo a gente fica feliz né já sabe que tá acontecendo se o pior é que não tá acontecendo né só não terminou ainda o calçamento por causa da chuva mas o tá caminhando direitinho que a gente está na esperança Com certeza de chegar a melhorar cada vez mais em tempo de chuva é ruim trabalhar em obra a gente sabe que ela para mesmo assim a gente tá vendo tem os trabalhadores por aqui porque o que dá para fazer eles vão adiantando alguma coisa legal que a gente já vem por aqui ó questão do saneamento tem tampa de esgoto já instalada aqui mais à frente o as Galerias pluviais também já colocadas aqui ó já estão fazendo tanto a ciclovia quanto a calçada tá ficando bonito negócio rapaz é uma andamento feliz da vida cantando de verdade não tá não cobra grande para a gente ver o andamento legal a gente tá usando essa estrada
"Rua Brasília, Grotão, João Pessoa, Paraíba, 58079-854",é hora do Companheiro da comunidade o calendário JPB o calendário tá de volta à Rua Brasília no Grotão lá os moradores pedem um calçamento que já foi prometido há tempos mas não chega o primeiro passo era a terraplanagem Como era a Rua Brasília quando a gente chegou aqui de um buraco tão grande que cabe uma geladeira dentro na nossa última visita nós mostramos que os serviços de terraplanagem prometido pela prefeitura não tinha sido feito os moradores Deram um prazo de 15 dias para que esse serviço então pudesse ser realizado e pelo que a gente tá vendo hoje a rua já está bem melhor né Seu Manoel pessoal da prefeitura parece que apareceu por aqui foi tudo foi tudo bem tá a máquina para cá ver uma máquina para cá vem ver caçamba de aterro música alguns moradores gravaram com o celular enquanto a prefeitura tava aqui fazendo esse serviço para alinhar e começar ajeitar o esgoto Aí no terminal do piru aí você vê uma chuva e vai encher as casas nesse canto aqui da rua existe uma galeria de água pluvial são canaletas para que a água da chuva posso escovar a que tinha um buraco aberto por onde as água passava e era um risco para os moradores Qual foi a solução encontrada pela seinfra colocar aterro aí me diz o setor de engenharia da seinfra que eu quero saber como é que a água da chuva que vem quando aqui vai passar o serviço que eles fizeram eles melhoraram ligando assim 40 por cento certo porque a gente tava passando na rua a rua tá bem plana só dá para passar de carro mas esse serviço aqui na galeria não tô entendendo nada porque o que eles fizeram foi a terra e as águas onde vem o que é justamente o caminho da galeria ela vai invadir as casas têm onde é que a sogra vai se ela ela entra e não sai quando eu digo que essa história não encerrou por aqui é porque os moradores fazem questão do calçamento e eu soube seu Antonio seu Eliezer Seu Manoel chega para cá eu soube que o pessoal da prefeitura quando esteve aqui para fazer serviço de terraplanagem conversou com os moradores que que eles disseram para você pediu mais um prazo de 90 dias que ele vai fazer um pacote de serviço de rua de calçamento para solicitar a empresa que venha ganhar o contrato para então iniciar as obras e quem foi que ele disse isso foi o próprio secretário secretário diz que só o ano que vem ele disse que a outra empresa que eles contrataram fechou começou o serviço e fechar a Araras obra Então esse daqui a 90 dias que seja dia 8 de outubro
"Rua Arnaldo de Albuquerque, Lauritzen, Campina Grande, Paraíba, 58401-390",caso triste né a gente as investigações continuam olha moradores do bairro do alto branco aqui em Campina Grande entraram em contato com a nossa produção expedição que o calendário JPB fosse lá até a Rua Arnaldo de Albuquerque cabelo de perfil a situação que tava acontecendo eles estão com o esgoto gente estourado há 3 meses e não conseguem que nenhum órgão resolva esse problema a Arnaldo de Albuquerque Albuquerque cortar Avenida Manoel Tavares que é todo mundo sabe aí uma das principais da cidade então como pedido da população é uma ordem Laisa grisi foi até lá a gente é recebido aqui na Arnaldo de Albuquerque bairro do Alto Branco gente é o mau cheiro vocês têm noção não esgoto assim a a céu aberto agora eu quero saber aqui como é que vocês moradores estão conseguindo ficar aqui gente sentado aqui tá descansando cheguei do trabalho hoje da Ceasa né tá descansando por aqui né mãe o Marcelo aqui é grande como é que fica aqui em não fica assim né quando chove a estrada modalidade para que desce para ali você é meu filho eu tô sentindo mal cheiro tô como é que consegue ficar aqui no meio da rua sentindo esse cheiro ruim hein ou cheio demais tu vai passar para atravessar ali Oxe o mau cheiro não aguento não eu volto do caminho mesmo volta mesmo né complicado vamos mostrar o problema de perto aqui Alisson meu Deus já é outro mulher do céu na porta da tua casa aí na porta da minha casa mulher que tá sem rede de esgoto já faz três meses que esses botar assim Já liguei duas vezes eu fui três vezes para Cagepa a Cagepa falou que vinha aqui para saber se era o problema da Cagepa da Prefeitura e até agora nada pelo que eu tô vendo aqui o esgoto a caixa tá entupida né aquela lá e aí tá estourando tudo aqui tá fazendo esse vazamento e aqui aí desce desce vai até a outra rua agora três meses nessa situação é complicado o mau cheiro horrível horrível horrível sem entrar dentro de casa só da Caatinga todinho dentro de casa minha mãe ficou doente por conta disso criou teve infecção no pulmão por conta disso e quando chove aqui fica pior viu vai daqui até lá embaixo passar até na Manoel Tavares tem condições não isso aqui tem que entrar no calendário né calendário tá horrível e os moradores encontraram que essa rua foi calçada recente mensagem nem um ano ainda aí quando a gente tiver assim o esgoto Pensa logo na Cagepa mas no caso aqui os moradores ainda não pagam a taxa de esgoto né a gente ver a conta de água então que a japa não tá operando
"Rua Márcia Travassos, Jardim Camboinha, Cabedelo, Paraíba, 58310-000",Bora mudar de assunto hoje o calendário JPB fala de um local criado para multiplicar o conhecimento para formar profissionais que serão importantíssimos para todos nós no futuro estou falando do IFPB de Cabedelo para chegar até lá a gente só a pé porque a falta de uma passagem de nível impedir que os carros conseguiram atravessar aqueles trafegar sem isso tá resolvido mas olha só quem disse que os carros conseguem passar sabe porque tá vendo aí já né o indício vamos conferir a reportagem acredite se quiser a obra que os professores funcionários e estudantes do IFPB daqui de Cabedelo tanto sonhavam está pronta a um mês por aqui ó já tem condições de qualquer carro passar agora quando a gente olha para essas duas montanhas de entulho aqui dá para perceber que tem algo mal-resolvido a gente olha assim vê que tá tudo pronto mas por aqui só passa a pessoa a pé ou de bicicleta ainda passa uma moto né mas assim o trânsito não tá liberado porque a gente tem uma interface com o pessoal da cbtu por conta da proximidade entre a passagem de nível da comunidade aqui próximo de chamada Carandiru e essa aqui dá em torno de 300 m quando a gente for fazer a liberação aqui dessa obra A cbtu Foi fechar a passagem do cavaleiro chamado por essa proximidade e a comunidade não permitiu essa fechada da passagem de nível da Rua Márcia Travassos nós solicitamos oficialmente a cbtu que se mantivesse as duas e aí agora de manhã o técnico lá da cbtu teve a graça de dizer que realmente eles vão conseguir ir deixar essas duas passagem de nível aberta por isso que a gente colocou esse material aqui na frente justamente para evitar essa esse trânsito agora então quer dizer que esses entulho aqui estão justamente para não descobrir essa determinação da cbtu agora é só chegar aí só socialmente Muito provavelmente nós temos que fazer alguma implantação de sinalização diferenciada aqui nas duas passagem de nível e a gente retira esse material e o pessoal consegue utilizar a passagem de nível como deveria estar fazendo a mais de um mês Vamos marcar uma data certinho para que a gente possa voltar aqui fazer a inauguração da passagem de nível para eu passar com o carro da reportagem por ela tá vindo um monte de estudante ali hoje o carimbo Gustavo em andamento era para ser resolvido mas tá quase né tá bem pertinho E aí qual seria o melhor dia para a gente voltar aqui pode ser dia 17 tem uma quinta-feira então Calendar Dário volta aqui dessa vez é para inaugurar a obra né podia dar notícia melhor para nós é um benefício para a comunidade interna para externa resolvendo qualquer tipo de aresta que pudesse haver né com a comunidade garantia de fato um acesso
"Rua Riachuelo, Liberdade, Campina Grande, Paraíba, 58414-140",Ano Novo Rua Nova para os moradores do bairro Jardim Paulistano Pois é depois de mais de 400 dias de cobrança do calendário três repórteres na causa várias voltas tem carimbo de Resolvido na tela Chegamos aqui na Rua Ariel que coisa boa porque eu já vi muitos sorrisos aqui que deu o povo só o sorriso O sorriso lá dois três quatro cinco Eita coisa boa foi luta foi luta né Demorou mas chegou mas terminou lutamos e ele várias vezes Graças a vocês hoje a gente pode dizer que a Ariel de Oliveira está concluída Olha é o seguinte a gente tá vendo aqui que ainda tem umas pedras né tem essas pinturas mais é porque eles causarão essa semana já terminaram ontem ainda tá molhado cocô ia só para finalizar mesmo exatamente onde eles ainda estava aqui diga se não fosse vocês ninguém tira essa roupa aí ela tá bonita a toa os sorrisos não são à toa não finalmente os moradores da Rua Professor Ariel de Oliveira respiram aliviados detalhes em poeira em 100 ama do jeito que tem que ser mas como a gente falou a luta não foi pouca o calendário JPB chegou aqui pela primeira vez em agosto do ano retrasado e comprou a briga dos moradores hora depois que a Rua Riachuelo foi calçada ficou apenas um trecho da Rua Ariel a ser finalizado então a secretaria de obra se comprometeu em usar o restinho do dinheiro do calçamento que já havia sido solicitado eles precisariam colocar mais um pouco de verba para complementar e pronto nós iremos tentar fazer as duas quadras da Rua Ariel Mas entre aquela promessa para ver finalmente o trabalho concluído se passaram mais de 400 dias e olha isso exigiu muita paciência da comunidade que vocês fizeram promessas a Laisa quando ela veio aqui nós Prometemos a ela que quando saísse o casamento eu ia ter o churrasco ela está convidada O que aconteceu com a vaca foi para o brejo morreu de tanto esperar até a vaca morreu e Laisa não tem churrasco Olha o secretário já chegou até agora tá aqui Nita cadê cadê a o churrasco Olha o churrasco como eu já disse a vaca já morreu faz muito tempo não é verdade deixa eu dizer Deixa eu explicar também porque a prefeitura concluiu ainda vai concluir né mas tá tudo resolvido foi ontem a gente chegou aqui de surpresa Não deu tempo nem de avisar os moradores que eles Prometeram um churrasco quando essa rua fosse calçada Mas não tem nada não por que tem lanche tem bolo tem queijo tem café tá bom demais é isso né já que não deu para fazer Mas o churrasco vai estar aqui um cafezinho e agradecimento né André deu trabalho né foi uma obra que a gente lutou todo mundo junto à prefeitura o calendário JPB e a comunidade mas enfim
"Alto das Populares, Santa Rita, Paraíba",1134 horas do calendário JPB que hoje está aparecendo o jogo do Brasil na Copa do Mundo Deixa eu explicar em outubro do ano passado os estudantes da Escola Maria honorina Santiago em Santa Rita chamaram calendário pedindo a reforma da quadra de esportes a situação tava bem feia por lá a reforma foi feita na quadra E na escola inteira para felicidade geral aí como você já percebeu durante o JPB Danilo Alves inspirou e entrou em quadra e alegria na Escola Estadual Maria honorina Santiago no Alto das populares e É bom demais esse pessoal animado desse jeito sabe por quê Porque antes para bater uma bolinha aqui nessa quadra a bola murcha tava ruim mas isso Acabou a galera como tá animada como tá feliz da vida por causa do calendário então do céu esse ginásio desse jeito é mesmo que marcar um gol no final da Copa do Mundo Tá bonito tá diferente tá não tá muito diferente do que era antes para cá agora a senhora tá uma beleza maravilhosa Construtora para jogar futsal handebol tudo sobre esporte show de bola também vocês queriam a quadra o problema era o ginásio conta para gente como é que tá o restante da escola assim eles fizeram o pacote completo A gente imaginava só essa quadra mas a gente ganhou um presente muito maior que foi toda a reforma que a gente não esperava da outra vez que o calendário veio aqui inclusive um aluno cadeirante que não tinha condições de entrar aqui na quadra esse acesso agora tá bem melhor existe acessibilidade tem uma horta que está sendo plantada aqui pelos próprios alunos que a gente vai plantar nossas próprias verduras hortaliças entre outros tipos de plantas tem um tipo de adição de agrotóxicos venenos e tudo que tudo que foi cultivado aqui será usado exclusivamente para a produção de alimentos também na escola ou seja a situação é outra inclusive o calor não era grande na sala de aula era agora a gente não sabe mais disso a gente agradece meu calendário JPB que trabalho mas não conta para gente que é que foi feito aqui a escola sofreu uma grande reforma porque estava necessitando de uma reforma foi feita a toda a parte elétrica parte hidráulica toda parte estrutura da escola pintura os alunos solicitaram através do calendário um ginásio e a secretaria do estado da educação entregou uma escola nova para os alunos a pessoa chega no ginásio como esses dá vontade de jogar bola
